show,type,gross,attendance,capacity,avgTicket,topTicket,performances
WICKED,Musical,126.549673,0.805068,100.00,157,375,418
WAITING FOR GODOT,Play,23.836509,0.116880,99.68,214,599,120
THE PICTURE OF DORIAN GRAY,Play,21.154440,0.110373,100.81,189,797,111
THE OUTSIDERS,Musical,64.345030,0.423936,99.04,153,548,414
THE LION KING,Musical,106.781983,0.708928,96.81,155,477,418
THE LAST FIVE YEARS,Musical,8.941190,0.105512,87.33,98,425,109
THE GREAT GATSBY,Musical,57.002764,0.617760,88.91,103,624,416
THE BOOK OF MORMON,Musical,47.252474,0.442390,94.02,113,499,415
SUNSET BLVD.,Musical,38.358154,0.369968,89.21,114,599,231
MJ,Musical,67.933749,0.576992,89.38,131,399,416
SMASH,Musical,12.596568,0.162265,82.51,94,305,115
SIX: THE MUSICAL,Musical,37.631709,0.427865,82.23,106,349,415
ROMEO + JULIET,Play,7.833254,0.044472,102.84,171,975,56
REDWOOD,Musical,12.860456,0.146431,85.78,106,476,127
RAGTIME,Musical,17.134784,0.111618,100.00,153,449,106
PURPOSE,Play,15.153366,0.124334,96.54,125,580,214
STRANGER THINGS: THE FIRST SHADOW,Play,40.331344,0.489358,81.27,101,399,307
PIRATES! THE PENZANCE MUSICAL,Musical,8.058516,0.094510,94.89,90,372,130
OTHELLO,Play,46.707510,0.124087,99.93,377,897,119
OPERATION MINCEMEAT: A NEW MUSICAL,Musical,32.026285,0.282820,94.49,120,475,358
OH MARY!,Play,57.916862,0.372320,98.38,158,425,416
OEDIPUS,Play,6.999961,0.066990,94.34,112,327,66
MOULIN ROUGE! THE MUSICAL,Musical,53.973369,0.540800,94.48,105,549,416
CABARET AT THE KIT KAT CLUB,Musical,34.176044,0.325280,88.13,117,799,304
MAYBE HAPPY ENDING,Musical,58.544259,0.405488,98.82,146,575,416
MAMMA MIA!,Musical,36.194449,0.252003,99.32,146,398,167
JUST IN TIME,Musical,49.394418,0.212630,102.68,226,975,309
JOHN PROCTOR IS THE VILLAIN,Play,17.121925,0.149768,101.47,111,697,194
HELL'S KITCHEN,Musical,50.368073,0.606112,86.16,96,397,416
BOOP! THE MUSICAL,Musical,8.819764,0.142125,83.44,74,297,125
HAMILTON,Musical,128.950063,0.624928,98.28,233,1500,416
HADESTOWN,Musical,41.879853,0.381624,97.64,112,449,416
ART,Play,24.255123,0.130869,98.59,175,547,131
CHESS,Musical,20.071937,0.120018,96.47,175,497,83
GLENGARRY GLEN ROSS,Play,35.845723,0.165862,98.65,219,799,127
DEATH BECOMES HER,Musical,66.750093,0.615783,95.56,113,499,413
CHICAGO,Musical,33.556396,0.449280,73.07,102,277,416
BUENA VISTA SOCIAL CLUB,Musical,48.409941,0.371346,97.00,134,475,354
GYPSY,Musical,40.767676,0.418170,79.27,121,447,263
"GOOD NIGHT, AND GOOD LUCK",Play,48.276657,0.152315,101.62,311,825,99
HARRY POTTER AND THE CURSED CHILD,Play,69.332610,0.668874,86.90,116,900,41
ALADDIN,Musical,68.387147,0.721886,94.52,100,350,418
& JULIET,Musical,46.680814,0.425790,94.32,116,378,415